method,step,threshold,estimate,lower_bound,mode_error,admissible,unsafe
point_estimate_controller,0,1.0,1.1333705836075911,0.9093705836075912,0.03,0,0
point_estimate_controller,1,1.0,1.1402355297162046,0.9162355297162046,0.03,0,0
point_estimate_controller,2,1.0,1.163095866381289,0.939095866381289,0.03,0,0
point_estimate_controller,3,1.0,1.1276224135429616,0.9036224135429616,0.03,0,0
point_estimate_controller,4,1.0,1.1335576288292655,0.9095576288292655,0.03,0,0
point_estimate_controller,5,1.0,1.1191529464476593,0.8951529464476593,0.03,0,0
point_estimate_controller,6,1.0,1.1352434834939613,0.9112434834939613,0.03,0,0
point_estimate_controller,7,1.0,1.1079773320307038,0.8839773320307038,0.03,0,0
point_estimate_controller,8,1.0,1.1022133651759256,0.8782133651759256,0.03,0,0
point_estimate_controller,9,1.0,1.1097488455258229,0.8857488455258229,0.03,0,0
point_estimate_controller,10,1.0,1.1291308741252077,0.9051308741252078,0.03,0,0
point_estimate_controller,11,1.0,1.1121138231376746,0.8881138231376746,0.03,0,0
point_estimate_controller,12,1.0,1.0927788384354207,0.8687788384354207,0.03,0,0
point_estimate_controller,13,1.0,1.0790181359053188,0.8550181359053188,0.03,0,0
point_estimate_controller,14,1.0,1.0697465983688765,0.8457465983688766,0.03,0,0
point_estimate_controller,15,1.0,1.1089529152155773,0.8849529152155773,0.03,0,0
point_estimate_controller,16,1.0,1.0749223997903223,0.8509223997903224,0.03,0,0
point_estimate_controller,17,1.0,1.091835680198829,0.867835680198829,0.03,0,0
point_estimate_controller,18,1.0,1.0754526148061687,0.8514526148061687,0.03,0,0
point_estimate_controller,19,1.0,1.0720068566435372,0.8480068566435373,0.03,0,0
point_estimate_controller,20,1.0,1.0676636689042178,0.8436636689042178,0.03,0,0
point_estimate_controller,21,1.0,1.0512247262968866,0.8272247262968866,0.03,0,0
point_estimate_controller,22,1.0,1.0592903428106295,0.8352903428106295,0.03,0,0
point_estimate_controller,23,1.0,1.0727369256654882,0.8487369256654882,0.03,0,0
point_estimate_controller,24,1.0,1.0623609293314868,0.8383609293314869,0.03,0,0
point_estimate_controller,25,1.0,1.0550881072238256,0.8310881072238256,0.03,0,0
point_estimate_controller,26,1.0,1.049215362423585,0.825215362423585,0.03,0,0
point_estimate_controller,27,1.0,1.028892346667482,0.804892346667482,0.03,0,0
point_estimate_controller,28,1.0,1.0338095234438167,0.7378095234438167,0.03,0,0
point_estimate_controller,29,1.0,1.0560327471142865,0.7600327471142865,0.03,0,0
point_estimate_controller,30,1.0,1.0499470876502712,0.7539470876502712,0.03,0,0
point_estimate_controller,31,1.0,1.0464789670943744,0.7504789670943743,0.03,0,0
point_estimate_controller,32,1.0,1.0075248686350649,0.7115248686350648,0.03,0,0
point_estimate_controller,33,1.0,1.0101715053224196,0.7141715053224196,0.03,0,0
point_estimate_controller,34,1.0,1.0250868454725903,0.7290868454725903,0.03,0,0
point_estimate_controller,35,1.0,0.9879258855031625,0.6919258855031625,0.03,0,0
point_estimate_controller,36,1.0,1.0222413620806665,0.7262413620806665,0.03,0,0
point_estimate_controller,37,1.0,1.0239554504207071,0.7279554504207071,0.03,0,0
point_estimate_controller,38,1.0,1.0042774448536693,0.7082774448536693,0.3,0,0
point_estimate_controller,39,1.0,0.9889891998973793,0.6929891998973794,0.3,0,0
point_estimate_controller,40,1.0,0.9740219747744642,0.6780219747744642,0.3,0,0
point_estimate_controller,41,1.0,0.9730682419409684,0.6770682419409684,0.3,0,0
point_estimate_controller,42,1.0,0.9781307796450697,0.6821307796450697,0.3,0,0
point_estimate_controller,43,1.0,0.9596746915117562,0.6636746915117562,0.3,0,0
point_estimate_controller,44,1.0,0.960795632149565,0.6647956321495649,0.3,0,0
point_estimate_controller,45,1.0,0.9568322592162188,0.6608322592162188,0.3,0,0
point_estimate_controller,46,1.0,0.9784541783926296,0.7544541783926296,0.3,0,0
point_estimate_controller,47,1.0,0.975596480448349,0.751596480448349,0.3,0,0
point_estimate_controller,48,1.0,0.9744662158182203,0.7504662158182204,0.3,0,0
point_estimate_controller,49,1.0,0.9535127575688135,0.7295127575688135,0.3,0,0
point_estimate_controller,50,1.0,0.927206465157848,0.703206465157848,0.3,0,0
point_estimate_controller,51,1.0,0.924035944996469,0.700035944996469,0.3,0,0
point_estimate_controller,52,1.0,0.9553438195188197,0.7313438195188198,0.3,0,0
point_estimate_controller,53,1.0,0.9581602504746509,0.7341602504746509,0.3,0,0
point_estimate_controller,54,1.0,0.9402517476879502,0.7162517476879502,0.3,0,0
point_estimate_controller,55,1.0,0.9515012209342149,0.7275012209342149,0.3,0,0
point_estimate_controller,56,1.0,0.9128868365085152,0.6888868365085152,0.03,0,0
point_estimate_controller,57,1.0,0.9379411685145933,0.7139411685145933,0.03,0,0
point_estimate_controller,58,1.0,0.9392951401012156,0.7152951401012156,0.03,0,0
point_estimate_controller,59,1.0,0.9292816342247405,0.7052816342247406,0.03,0,0
point_estimate_controller,60,1.0,0.9100072228112447,0.6860072228112447,0.03,0,0
point_estimate_controller,61,1.0,0.9153275444092767,0.6913275444092767,0.03,0,0
point_estimate_controller,62,1.0,0.9085838290969888,0.6845838290969888,0.03,0,0
point_estimate_controller,63,1.0,0.876573533695636,0.652573533695636,0.03,0,0
point_estimate_controller,64,1.0,0.8870903637125265,0.6630903637125265,0.03,0,0
point_estimate_controller,65,1.0,0.8932258449810593,0.6692258449810593,0.03,0,0
point_estimate_controller,66,1.0,0.8677055598203814,0.6437055598203815,0.03,0,0
point_estimate_controller,67,1.0,0.8704262331152853,0.6464262331152854,0.03,0,0
point_estimate_controller,68,1.0,0.8907682677760075,0.6667682677760075,0.03,0,0
point_estimate_controller,69,1.0,0.898887255052717,0.6748872550527171,0.03,0,0
point_estimate_controller,70,1.0,0.8756431815295873,0.6516431815295873,0.03,0,0
point_estimate_controller,71,1.0,0.8870682643575926,0.6630682643575926,0.03,0,0
point_estimate_controller,72,1.0,0.8576013119924945,0.6336013119924945,0.03,0,0
point_estimate_controller,73,1.0,0.8740685523936427,0.6500685523936427,0.03,0,0
point_estimate_controller,74,1.0,0.8535810215165472,0.6295810215165473,0.03,0,0
point_estimate_controller,75,1.0,0.8390742964455301,0.6150742964455301,0.03,0,0
point_estimate_controller,76,1.0,0.8427531921429597,0.6187531921429598,0.03,0,0
point_estimate_controller,77,1.0,0.8389820354593311,0.6149820354593312,0.03,0,0
point_estimate_controller,78,1.0,0.8466352430897396,0.6226352430897396,0.03,0,0
point_estimate_controller,79,1.0,0.8209994046962462,0.5969994046962462,0.03,0,0
symmetric_interval_wrapper,0,1.0,1.1596349881105932,0.5576349881105932,0.03,0,0
symmetric_interval_wrapper,1,1.0,1.1222945893130178,0.5202945893130179,0.03,0,0
symmetric_interval_wrapper,2,1.0,1.1485278756128612,0.5465278756128612,0.03,0,0
symmetric_interval_wrapper,3,1.0,1.128504909874608,0.5265049098746081,0.03,0,0
symmetric_interval_wrapper,4,1.0,1.1579107298467102,0.5559107298467102,0.03,0,0
symmetric_interval_wrapper,5,1.0,1.1154359184880485,0.5134359184880485,0.03,0,0
symmetric_interval_wrapper,6,1.0,1.1274698083004913,0.5254698083004913,0.03,0,0
symmetric_interval_wrapper,7,1.0,1.13497996276087,0.5329799627608701,0.03,0,0
symmetric_interval_wrapper,8,1.0,1.1195937002500504,0.5175937002500505,0.03,0,0
symmetric_interval_wrapper,9,1.0,1.1352077208887565,0.5332077208887566,0.03,0,0
symmetric_interval_wrapper,10,1.0,1.1123433352125875,0.5103433352125876,0.03,0,0
symmetric_interval_wrapper,11,1.0,1.0844654122028037,0.4824654122028037,0.03,0,0
symmetric_interval_wrapper,12,1.0,1.1084915999010474,0.5064915999010474,0.03,0,0
symmetric_interval_wrapper,13,1.0,1.0760231210290332,0.4740231210290332,0.03,0,0
symmetric_interval_wrapper,14,1.0,1.0870708745724718,0.4850708745724718,0.03,0,0
symmetric_interval_wrapper,15,1.0,1.111566790382918,0.5095667903829181,0.03,0,0
symmetric_interval_wrapper,16,1.0,1.0651410268732056,0.4631410268732056,0.03,0,0
symmetric_interval_wrapper,17,1.0,1.0733686329979562,0.47136863299795617,0.03,0,0
symmetric_interval_wrapper,18,1.0,1.081906377801033,0.47990637780103296,0.03,0,0
symmetric_interval_wrapper,19,1.0,1.0926908032278202,0.4906908032278202,0.03,0,0
symmetric_interval_wrapper,20,1.0,1.0479885837408913,0.44598858374089134,0.03,0,0
symmetric_interval_wrapper,21,1.0,1.0826460379412803,0.48064603794128036,0.03,0,0
symmetric_interval_wrapper,22,1.0,1.0814654958025671,0.47946549580256714,0.03,0,0
symmetric_interval_wrapper,23,1.0,1.0608487448656962,0.45884874486569627,0.03,0,0
symmetric_interval_wrapper,24,1.0,1.0512109832196457,0.4492109832196457,0.03,0,0
symmetric_interval_wrapper,25,1.0,1.0722730189710414,0.47027301897104146,0.03,0,0
symmetric_interval_wrapper,26,1.0,1.0324310010391495,0.43043100103914955,0.03,0,0
symmetric_interval_wrapper,27,1.0,1.0437363784226625,0.44173637842266256,0.03,0,0
symmetric_interval_wrapper,28,1.0,1.0554637659407202,0.3814637659407203,0.03,0,0
symmetric_interval_wrapper,29,1.0,1.0206159371238421,0.3466159371238422,0.03,0,0
symmetric_interval_wrapper,30,1.0,1.0133120121275954,0.33931201212759543,0.03,0,0
symmetric_interval_wrapper,31,1.0,1.0413223823251794,0.36732238232517944,0.03,0,0
symmetric_interval_wrapper,32,1.0,0.9978851738157326,0.3238851738157327,0.03,0,0
symmetric_interval_wrapper,33,1.0,1.0061534287228622,0.33215342872286224,0.03,0,0
symmetric_interval_wrapper,34,1.0,0.9988353205534657,0.32483532055346576,0.03,0,0
symmetric_interval_wrapper,35,1.0,0.9905739416452438,0.3165739416452439,0.03,0,0
symmetric_interval_wrapper,36,1.0,1.004906417781606,0.3309064177816061,0.03,0,0
symmetric_interval_wrapper,37,1.0,1.0155579955145515,0.34155799551455157,0.03,0,0
symmetric_interval_wrapper,38,1.0,1.0107542521584079,0.33675425215840793,0.3,0,0
symmetric_interval_wrapper,39,1.0,0.9883371751316194,0.3143371751316195,0.3,0,0
symmetric_interval_wrapper,40,1.0,0.9695852249809367,0.29558522498093676,0.3,0,0
symmetric_interval_wrapper,41,1.0,1.0069485020254385,0.3329485020254386,0.3,0,0
symmetric_interval_wrapper,42,1.0,0.9716102760091071,0.29761027600910717,0.3,0,0
symmetric_interval_wrapper,43,1.0,0.9891997893445917,0.3151997893445918,0.3,0,0
symmetric_interval_wrapper,44,1.0,0.9704383629298213,0.2964383629298214,0.3,0,0
symmetric_interval_wrapper,45,1.0,0.9677125838995535,0.29371258389955357,0.3,0,0
symmetric_interval_wrapper,46,1.0,0.9548185999741635,0.35281859997416354,0.3,0,0
symmetric_interval_wrapper,47,1.0,0.9526475761700972,0.35064757617009723,0.3,0,0
symmetric_interval_wrapper,48,1.0,0.9439072157771611,0.3419072157771611,0.3,0,0
symmetric_interval_wrapper,49,1.0,0.9662686947998486,0.3642686947998486,0.3,0,0
symmetric_interval_wrapper,50,1.0,0.9712700680138109,0.3692700680138109,0.3,0,0
symmetric_interval_wrapper,51,1.0,0.9687416224663644,0.36674162246636444,0.3,0,0
symmetric_interval_wrapper,52,1.0,0.9345009482578093,0.3325009482578093,0.3,0,0
symmetric_interval_wrapper,53,1.0,0.9206044191470997,0.3186044191470997,0.3,0,0
symmetric_interval_wrapper,54,1.0,0.9246991050103053,0.3226991050103053,0.3,0,0
symmetric_interval_wrapper,55,1.0,0.9341066980797719,0.3321066980797719,0.3,0,0
symmetric_interval_wrapper,56,1.0,0.9250494667321035,0.32304946673210355,0.03,0,0
symmetric_interval_wrapper,57,1.0,0.9249303142763178,0.3229303142763178,0.03,0,0
symmetric_interval_wrapper,58,1.0,0.9340949810892358,0.33209498108923585,0.03,0,0
symmetric_interval_wrapper,59,1.0,0.8940333895174473,0.2920333895174473,0.03,0,0
symmetric_interval_wrapper,60,1.0,0.9071235975256193,0.30512359752561935,0.03,0,0
symmetric_interval_wrapper,61,1.0,0.9293836227603535,0.3273836227603535,0.03,0,0
symmetric_interval_wrapper,62,1.0,0.8804960697753087,0.2784960697753087,0.03,0,0
symmetric_interval_wrapper,63,1.0,0.9205195210222509,0.3185195210222509,0.03,0,0
symmetric_interval_wrapper,64,1.0,0.9064744973671958,0.3044744973671958,0.03,0,0
symmetric_interval_wrapper,65,1.0,0.8862737207164884,0.2842737207164884,0.03,0,0
symmetric_interval_wrapper,66,1.0,0.9085386533016228,0.3065386533016228,0.03,0,0
symmetric_interval_wrapper,67,1.0,0.9018814396047427,0.2998814396047427,0.03,0,0
symmetric_interval_wrapper,68,1.0,0.855879484559634,0.25387948455963405,0.03,0,0
symmetric_interval_wrapper,69,1.0,0.8743321327179077,0.2723321327179077,0.03,0,0
symmetric_interval_wrapper,70,1.0,0.869461658420711,0.267461658420711,0.03,0,0
symmetric_interval_wrapper,71,1.0,0.8803946867966778,0.2783946867966778,0.03,0,0
symmetric_interval_wrapper,72,1.0,0.8749588676201949,0.27295886762019494,0.03,0,0
symmetric_interval_wrapper,73,1.0,0.8402994019082465,0.2382994019082465,0.03,0,0
symmetric_interval_wrapper,74,1.0,0.8290741403833215,0.22707414038332152,0.03,0,0
symmetric_interval_wrapper,75,1.0,0.8580821885330845,0.2560821885330845,0.03,0,0
symmetric_interval_wrapper,76,1.0,0.8369814419156946,0.2349814419156946,0.03,0,0
symmetric_interval_wrapper,77,1.0,0.8510977287365733,0.24909772873657332,0.03,0,0
symmetric_interval_wrapper,78,1.0,0.8306846484649976,0.2286846484649976,0.03,0,0
symmetric_interval_wrapper,79,1.0,0.832745864826981,0.230745864826981,0.03,0,0
fixed_controller_relative_contract,0,1.0,1.1494263765413224,0.7434263765413224,0.03,0,0
fixed_controller_relative_contract,1,1.0,1.1456701460052923,0.7396701460052922,0.03,0,0
fixed_controller_relative_contract,2,1.0,1.1408382477760117,0.7348382477760117,0.03,0,0
fixed_controller_relative_contract,3,1.0,1.1218426544266829,0.7158426544266828,0.03,0,0
fixed_controller_relative_contract,4,1.0,1.1457308604260312,0.7397308604260312,0.03,0,0
fixed_controller_relative_contract,5,1.0,1.1267081967805137,0.7207081967805137,0.03,0,0
fixed_controller_relative_contract,6,1.0,1.1125663307075082,0.7065663307075082,0.03,0,0
fixed_controller_relative_contract,7,1.0,1.1301178317223408,0.7241178317223408,0.03,0,0
fixed_controller_relative_contract,8,1.0,1.1307482141285636,0.7247482141285636,0.03,0,0
fixed_controller_relative_contract,9,1.0,1.099042190497019,0.6930421904970189,0.03,0,0
fixed_controller_relative_contract,10,1.0,1.1347482515984695,0.7287482515984695,0.03,0,0
fixed_controller_relative_contract,11,1.0,1.0892873017172002,0.6832873017172002,0.03,0,0
fixed_controller_relative_contract,12,1.0,1.080770042796527,0.674770042796527,0.03,0,0
fixed_controller_relative_contract,13,1.0,1.1137468263171892,0.7077468263171892,0.03,0,0
fixed_controller_relative_contract,14,1.0,1.0953811831358788,0.6893811831358788,0.03,0,0
fixed_controller_relative_contract,15,1.0,1.0653402469790572,0.6593402469790571,0.03,0,0
fixed_controller_relative_contract,16,1.0,1.090042751443624,0.6840427514436239,0.03,0,0
fixed_controller_relative_contract,17,1.0,1.0917417394463151,0.6857417394463151,0.03,0,0
fixed_controller_relative_contract,18,1.0,1.0717029689708553,0.6657029689708552,0.03,0,0
fixed_controller_relative_contract,19,1.0,1.0723584428010329,0.6663584428010328,0.03,0,0
fixed_controller_relative_contract,20,1.0,1.0665752867319096,0.6605752867319096,0.03,0,0
fixed_controller_relative_contract,21,1.0,1.0689285788717529,0.6629285788717528,0.03,0,0
fixed_controller_relative_contract,22,1.0,1.0836691475906044,0.6776691475906044,0.03,0,0
fixed_controller_relative_contract,23,1.0,1.0626138180263884,0.6566138180263884,0.03,0,0
fixed_controller_relative_contract,24,1.0,1.0632949632000392,0.6572949632000392,0.03,0,0
fixed_controller_relative_contract,25,1.0,1.0336404852105616,0.6276404852105616,0.03,0,0
fixed_controller_relative_contract,26,1.0,1.027916595580578,0.621916595580578,0.03,0,0
fixed_controller_relative_contract,27,1.0,1.0205511735966868,0.6145511735966868,0.03,0,0
fixed_controller_relative_contract,28,1.0,1.0441294286320593,0.5661294286320593,0.03,0,0
fixed_controller_relative_contract,29,1.0,1.0488981516385247,0.5708981516385248,0.03,0,0
fixed_controller_relative_contract,30,1.0,1.0296916576426445,0.5516916576426445,0.03,0,0
fixed_controller_relative_contract,31,1.0,1.017993230504255,0.539993230504255,0.03,0,0
fixed_controller_relative_contract,32,1.0,1.0217728595515785,0.5437728595515785,0.03,0,0
fixed_controller_relative_contract,33,1.0,1.0379251376977783,0.5599251376977783,0.03,0,0
fixed_controller_relative_contract,34,1.0,0.9997811523291416,0.5217811523291416,0.03,0,0
fixed_controller_relative_contract,35,1.0,1.0233853722685906,0.5453853722685906,0.03,0,0
fixed_controller_relative_contract,36,1.0,1.0026564373763387,0.5246564373763387,0.03,0,0
fixed_controller_relative_contract,37,1.0,1.008432712237912,0.530432712237912,0.03,0,0
fixed_controller_relative_contract,38,1.0,0.9885805701710665,0.5105805701710664,0.3,0,0
fixed_controller_relative_contract,39,1.0,1.0042486296862525,0.5262486296862525,0.3,0,0
fixed_controller_relative_contract,40,1.0,1.0044324359461774,0.5264324359461774,0.3,0,0
fixed_controller_relative_contract,41,1.0,0.9869764947571923,0.5089764947571922,0.3,0,0
fixed_controller_relative_contract,42,1.0,0.9884356298920043,0.5104356298920043,0.3,0,0
fixed_controller_relative_contract,43,1.0,0.961358659026126,0.483358659026126,0.3,0,0
fixed_controller_relative_contract,44,1.0,0.9759144969566164,0.4979144969566163,0.3,0,0
fixed_controller_relative_contract,45,1.0,0.9633569841724318,0.4853569841724317,0.3,0,0
fixed_controller_relative_contract,46,1.0,0.95904806813369,0.55304806813369,0.3,0,0
fixed_controller_relative_contract,47,1.0,0.9526473019089285,0.5466473019089285,0.3,0,0
fixed_controller_relative_contract,48,1.0,0.9489061809984939,0.5429061809984939,0.3,0,0
fixed_controller_relative_contract,49,1.0,0.9350670885257376,0.5290670885257376,0.3,0,0
fixed_controller_relative_contract,50,1.0,0.9335308427337955,0.5275308427337955,0.3,0,0
fixed_controller_relative_contract,51,1.0,0.9461392537657174,0.5401392537657174,0.3,0,0
fixed_controller_relative_contract,52,1.0,0.9529381641580883,0.5469381641580883,0.3,0,0
fixed_controller_relative_contract,53,1.0,0.9305957822963914,0.5245957822963914,0.3,0,0
fixed_controller_relative_contract,54,1.0,0.9470730908773372,0.5410730908773371,0.3,0,0
fixed_controller_relative_contract,55,1.0,0.9382524350340355,0.5322524350340355,0.3,0,0
fixed_controller_relative_contract,56,1.0,0.9431968234980121,0.5371968234980121,0.03,0,0
fixed_controller_relative_contract,57,1.0,0.9046492594128707,0.49864925941287064,0.03,0,0
fixed_controller_relative_contract,58,1.0,0.8930499984603351,0.48704999846033503,0.03,0,0
fixed_controller_relative_contract,59,1.0,0.9086867791604255,0.5026867791604255,0.03,0,0
fixed_controller_relative_contract,60,1.0,0.8857247108052718,0.4797247108052718,0.03,0,0
fixed_controller_relative_contract,61,1.0,0.919423911634865,0.513423911634865,0.03,0,0
fixed_controller_relative_contract,62,1.0,0.8972736077369718,0.4912736077369718,0.03,0,0
fixed_controller_relative_contract,63,1.0,0.8853558933415723,0.47935589334157225,0.03,0,0
fixed_controller_relative_contract,64,1.0,0.8842211742715879,0.47822117427158783,0.03,0,0
fixed_controller_relative_contract,65,1.0,0.8716875913604796,0.46568759136047955,0.03,0,0
fixed_controller_relative_contract,66,1.0,0.8866863503225236,0.4806863503225236,0.03,0,0
fixed_controller_relative_contract,67,1.0,0.8641884138364502,0.45818841383645015,0.03,0,0
fixed_controller_relative_contract,68,1.0,0.8827469747012087,0.47674697470120864,0.03,0,0
fixed_controller_relative_contract,69,1.0,0.8637246315695739,0.4577246315695739,0.03,0,0
fixed_controller_relative_contract,70,1.0,0.8521615239461945,0.44616152394619446,0.03,0,0
fixed_controller_relative_contract,71,1.0,0.8892724623751648,0.48327246237516475,0.03,0,0
fixed_controller_relative_contract,72,1.0,0.8375491633251021,0.43154916332510207,0.03,0,0
fixed_controller_relative_contract,73,1.0,0.8616378229988203,0.4556378229988203,0.03,0,0
fixed_controller_relative_contract,74,1.0,0.8326548422507063,0.42665484225070627,0.03,0,0
fixed_controller_relative_contract,75,1.0,0.867993704917526,0.461993704917526,0.03,0,0
fixed_controller_relative_contract,76,1.0,0.8307021266525139,0.42470212665251383,0.03,0,0
fixed_controller_relative_contract,77,1.0,0.8459952230086599,0.4399952230086599,0.03,0,0
fixed_controller_relative_contract,78,1.0,0.8186118419760253,0.4126118419760253,0.03,0,0
fixed_controller_relative_contract,79,1.0,0.8501534040240118,0.4441534040240118,0.03,0,0
adaptive_mode_calibrated_contract,0,1.0,1.1654458857778827,0.7314458857778827,0.03,0,0
adaptive_mode_calibrated_contract,1,1.0,1.1703165533654831,0.7363165533654832,0.03,0,0
adaptive_mode_calibrated_contract,2,1.0,1.1337789831811909,0.6997789831811909,0.03,0,0
adaptive_mode_calibrated_contract,3,1.0,1.1588717926827563,0.7248717926827564,0.03,0,0
adaptive_mode_calibrated_contract,4,1.0,1.1531946033167735,0.7191946033167735,0.03,0,0
adaptive_mode_calibrated_contract,5,1.0,1.1423326722186682,0.7083326722186682,0.03,0,0
adaptive_mode_calibrated_contract,6,1.0,1.122676453588365,0.6886764535883652,0.03,0,0
adaptive_mode_calibrated_contract,7,1.0,1.0987418413399124,0.6647418413399124,0.03,0,0
adaptive_mode_calibrated_contract,8,1.0,1.1311979806999528,0.6971979806999529,0.03,0,0
adaptive_mode_calibrated_contract,9,1.0,1.1197642603213844,0.6857642603213845,0.03,0,0
adaptive_mode_calibrated_contract,10,1.0,1.1035894182846873,0.6695894182846873,0.03,0,0
adaptive_mode_calibrated_contract,11,1.0,1.10980158472152,0.67580158472152,0.03,0,0
adaptive_mode_calibrated_contract,12,1.0,1.0913526158932325,0.6573526158932326,0.03,0,0
adaptive_mode_calibrated_contract,13,1.0,1.0760117339574087,0.6420117339574087,0.03,0,0
adaptive_mode_calibrated_contract,14,1.0,1.1104651703954769,0.6764651703954769,0.03,0,0
adaptive_mode_calibrated_contract,15,1.0,1.0694329278030321,0.6354329278030322,0.03,0,0
adaptive_mode_calibrated_contract,16,1.0,1.0812791522763514,0.6472791522763515,0.03,0,0
adaptive_mode_calibrated_contract,17,1.0,1.07520005871006,0.6412000587100601,0.03,0,0
adaptive_mode_calibrated_contract,18,1.0,1.0702182318462505,0.6362182318462506,0.03,0,0
adaptive_mode_calibrated_contract,19,1.0,1.0636362624010616,0.6296362624010616,0.03,0,0
adaptive_mode_calibrated_contract,20,1.0,1.0778002159631002,0.6438002159631002,0.03,0,0
adaptive_mode_calibrated_contract,21,1.0,1.0793462357405799,0.6453462357405799,0.03,0,0
adaptive_mode_calibrated_contract,22,1.0,1.044578809264317,0.610578809264317,0.03,0,0
adaptive_mode_calibrated_contract,23,1.0,1.0361255179321698,0.6021255179321698,0.03,0,0
adaptive_mode_calibrated_contract,24,1.0,1.0699669654676616,0.6359669654676616,0.03,0,0
adaptive_mode_calibrated_contract,25,1.0,1.0457420938535174,0.6117420938535174,0.03,0,0
adaptive_mode_calibrated_contract,26,1.0,1.0533745107466732,0.6193745107466733,0.03,0,0
adaptive_mode_calibrated_contract,27,1.0,1.0604114612696987,0.6264114612696987,0.03,0,0
adaptive_mode_calibrated_contract,28,1.0,1.0238396859535963,0.5178396859535963,0.03,0,0
adaptive_mode_calibrated_contract,29,1.0,1.0371077998757867,0.5311077998757867,0.03,0,0
adaptive_mode_calibrated_contract,30,1.0,1.0302090596202902,0.5242090596202902,0.03,0,0
adaptive_mode_calibrated_contract,31,1.0,1.0029764028273054,0.4969764028273054,0.03,0,0
adaptive_mode_calibrated_contract,32,1.0,1.0316857050834125,0.5256857050834125,0.03,0,0
adaptive_mode_calibrated_contract,33,1.0,1.022696617628104,0.516696617628104,0.03,0,0
adaptive_mode_calibrated_contract,34,1.0,1.0279179354831829,0.5219179354831829,0.03,0,0
adaptive_mode_calibrated_contract,35,1.0,1.021118504136749,0.515118504136749,0.03,0,0
adaptive_mode_calibrated_contract,36,1.0,1.0193701915209832,0.5133701915209832,0.03,0,0
adaptive_mode_calibrated_contract,37,1.0,0.982960032164465,0.47696003216446503,0.03,0,0
adaptive_mode_calibrated_contract,38,1.0,0.9904760237765852,0.48447602377658516,0.3,0,0
adaptive_mode_calibrated_contract,39,1.0,1.0073724065552763,0.5013724065552763,0.3,0,0
adaptive_mode_calibrated_contract,40,1.0,1.0108783230307508,0.5048783230307508,0.3,0,0
